Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
solomon islands,SLB,516074229,608293860.3,597765363.1,681151190,932725578.8,1063879451,1129787202,1172268296,1154650066,1232699140
sierra leone,SLE,2158496873,2505458705,2453899847,2578026297,2942546781,3801862611,4920343195,5015157816,4218723875,3556036535
el salvador,SLV,17011750900,17986886200,17601616000,18447922400,20283783700,21386153000,21977401900,22585841200,23166030400,23912227500
san marino,SMR,2488365727,2752307016,2363156432,2139072848,2054489853,1800077091,1865374403,1845561895,1569258068,1590707965
somalia,SOM,NA,NA,NA,NA,NA,NA,6486974549,6568443573,6631336625,6752653099
serbia,SRB,40289556656,49259526053,42616653300,39460357731,46466728667,40742313861,45519650911,44210806366,37160332465,38299854688
sub-saharan africa (excluding high income),SSA,9.30E+11,1.06E+12,1.02E+12,1.36E+12,1.54E+12,1.61E+12,1.70E+12,1.78E+12,1.61E+12,1.51E+12
south sudan,SSD,NA,NA,NA,NA,17273335564,11266779661,14940338983,15099661017,10906867790,2904114903
sub-saharan africa,SSF,9.31E+11,1.07E+12,1.02E+12,1.36E+12,1.54E+12,1.61E+12,1.70E+12,1.78E+12,1.61E+12,1.51E+12
small states,SST,3.32E+11,4.01E+11,3.43E+11,3.93E+11,4.77E+11,4.98E+11,5.15E+11,5.29E+11,4.52E+11,4.41E+11
sao tome and principe,STP,144616696.8,188021168.8,187821029,197454053.1,233213522.6,252560557.1,302925489.7,348941656.8,315520894.9,354238109.3
suriname,SUR,2936612022,3532969035,3875409836,4368398048,4422276622,4.98E+09,5145757576,5240606061,4826587058,3278425328
slovak republic,SVK,86304245825,1.00E+11,88945625174,89501012916,98181259740,93413992956,98478349315,1.01E+11,87501423882,89768598023
slovenia,SVN,48114688201,55589849128,50244793832,48013606745,51290792018,46352802766,48116256926,49904928335,43072415017,44708598649
sweden,SWE,4.88E+11,5.14E+11,4.30E+11,4.88E+11,5.63E+11,5.44E+11,5.79E+11,5.74E+11,4.98E+11,5.14E+11
eswatini,SWZ,3469363996,3294093485,3580417067,4438778424,4820499924,4823831657,4560713074,4377293816,4020275298,3720649375
sint maarten (dutch part),SXM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
seychelles,SYC,1033561654,967199594,847397850.1,969936525.3,1065826670,1059498884,1328091524,1342997306,1375604279,1425929444
syrian arab republic,SYR,40405006007,NA,NA,NA,NA,NA,NA,NA,NA,NA
turks and caicos islands,TCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chad,TCD,8638711443,10351932604,9253484108,10657705536,12156380425,12368071039,12949854263,13922223234,10985793715,9412034269
east asia & pacific (ida & ibrd countries),TEA,4.72E+12,5.98E+12,6.49E+12,7.87E+12,9.62E+12,1.07E+13,1.18E+13,1.27E+13,1.32E+13,1.35E+13
europe & central asia (ida & ibrd countries),TEC,3.16E+12,3.91E+12,3.10E+12,3.63E+12,4.42E+12,4.61E+12,4.89E+12,4.62E+12,3.60E+12,3.47E+12
togo,TGO,2523462557,3163416242,3163000529,3172945645,3756023160,3866618282,4080929201,4482880424,4087775415,4388569576
thailand,THA,2.63E+11,2.91E+11,2.82E+11,3.41E+11,3.71E+11,3.98E+11,4.20E+11,4.07E+11,4.01E+11,4.12E+11
tajikistan,TJK,3719497371,5161336170,4979481980,5642178580,6522732203,7633049792,8506674783,9236309138,7853450374,6951657159
turkmenistan,TKM,12664165103,19271523179,20214385965,22583157895,29233333333,35164210526,39197543860,43524210526,35799628571,36179885714
latin america & the caribbean (ida & ibrd countries),TLA,3.77E+12,4.40E+12,4.12E+12,5.15E+12,5.87E+12,5.93E+12,6.07E+12,6.19E+12,5.28E+12,5.13E+12
timor-leste,TLS,2881025963,4391333476,3199550317,3998696649,5681940845,6671047974,5649813361,4045377828,3104426021,2521007679
middle east & north africa (ida & ibrd countries),TMN,9.97E+11,1.23E+12,1.19E+12,1.37E+12,1.56E+12,1.72E+12,1.61E+12,1.58E+12,1.42E+12,1.43E+12
tonga,TON,300143056.9,349484427.6,318166562.8,369485198.8,423011844.3,472358251.2,450686353.7,443911052.3,435438217.3,401562006.2
south asia (ida & ibrd),TSA,1.49E+12,1.52E+12,1.67E+12,2.04E+12,2.27E+12,2.30E+12,2.36E+12,2.58E+12,2.70E+12,2.90E+12
sub-saharan africa (ida & ibrd countries),TSS,9.31E+11,1.07E+12,1.02E+12,1.36E+12,1.54E+12,1.61E+12,1.70E+12,1.78E+12,1.61E+12,1.51E+12
trinidad and tobago,TTO,21642304046,27870257894,19175196446,22157948396,25433011405,25622915889,26578524198,27199856454,24402499451,22320008403
tunisia,TUN,38908069299,44856586316,43454935940,44050929160,45810626509,45044112939,46251061734,47587913059,43156708809,42062549395
turkey,TUR,6.76E+11,7.64E+11,6.45E+11,7.72E+11,8.33E+11,8.74E+11,9.51E+11,9.34E+11,8.60E+11,8.64E+11
tuvalu,TUV,27030374.03,30290219.76,27101076.28,31823518.62,38711827.75,37671734.83,37509122.07,37290587.5,35556038.82,36572611.89
tanzania,TZA,21501741757,27368386358,28573777052,31407908612,33878631649,39087748240,44413616116,48219734752,45623490992,47388395823
uganda,UGA,12292813603,14239026630,18168902154,20186496527,20176025418,23114293019,24599550742,27291880327,27102650472,24078931744
ukraine,UKR,1.43E+11,1.80E+11,1.17E+11,1.36E+11,1.63E+11,1.76E+11,1.83E+11,1.34E+11,91030959455,93270479389
upper middle income,UMC,1.08E+13,1.32E+13,1.27E+13,1.54E+13,1.84E+13,1.97E+13,2.10E+13,2.17E+13,2.02E+13,2.01E+13
uruguay,URY,23410572634,30366213119,31660911277,40284481652,47962439304,51264390116,57531233351,57236013086,53274304222,52687612262
united states,USA,1.45E+13,1.47E+13,1.44E+13,1.50E+13,1.55E+13,1.62E+13,1.67E+13,1.74E+13,1.81E+13,1.86E+13
uzbekistan,UZB,22311393928,29549438884,33689223673,39332770929,45915191189,51821573338,57690453461,63067077179,66903804143,67067565989
st. vincent and the grenadines,VCT,651833333.3,695428851.9,674922481.5,681225963,676129407.4,692933740.7,721207148.1,725185185.2,756666666.7,765555555.6
"venezuela, rb",VEN,2.30E+11,3.16E+11,3.30E+11,3.93E+11,3.16E+11,3.81E+11,3.71E+11,4.82E+11,NA,NA
british virgin islands,VGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
virgin islands (u.s.),VIR,4.80E+09,4.25E+09,4.20E+09,4.34E+09,4.24E+09,4.10E+09,3.76E+09,3.62E+09,3.77E+09,NA
vietnam,VNM,77414425532,99130304099,1.06E+11,1.16E+11,1.36E+11,1.56E+11,1.71E+11,1.86E+11,1.93E+11,2.05E+11
vanuatu,VUT,526428309.9,607958616.1,610066628.7,700804286.2,792149700.7,781702874.1,801787555.9,814954307,737917151.4,787942567.4
world,WLD,5.78E+13,6.34E+13,6.01E+13,6.60E+13,7.33E+13,7.50E+13,7.71E+13,7.91E+13,7.48E+13,7.59E+13
samoa,WSM,550970655.5,644132488.9,560959527.8,643046733.4,739785121.9,801168622.3,804808525.5,803589511.8,803985809.2,786356314.8
kosovo,XKX,4833561456,5687488209,5653792720,5829933775,6686683347,6500192728,7073420074,7386891336,6439946767,6715486726
"yemen, rep.",YEM,21656517484,26910851362,25130274124,30906748941,32726417212,35401325144,40415235702,43228582065,34602480339,18213328571
south africa,ZAF,2.99E+11,2.87E+11,2.97E+11,3.75E+11,4.17E+11,3.96E+11,3.67E+11,3.51E+11,3.18E+11,2.96E+11
zambia,ZMB,14056957976,17910858638,15328342304,20265556274,23460098340,25503370699,28045460442,27150630607,21154394546,20954754378
zimbabwe,ZWE,5291950100,4415702800,8621573600,10141859700,12098450700,14242490300,15451768700,15891049200,16304667800,16619960400
